SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci
758990;osada;Babki;True;58;234;6578604.85;0.003556985186608373
763241;wieś;Babki Gąseckie;True;35;97;5616517.28;0.0017270489017350622
763258;wieś;Babki Oleckie;True;45;168;7985764.01;0.0021037436091227543
764134;wieś;Babrosty;True;65;217;4902222.46;0.004426563701884716
767859;osada;Bachorza;True;2;22;133822.19;0.016439724981335307
482944;wieś;Bagienice;True;41;99;1919776.13;0.005156851283487935
482950;wieś;Bagienice Małe;True;61;213;12031312.3;0.001770380443037789
482045;wieś;Bagieńsko;True;5;10;14944675.06;6.691346556450321e-05
481152;przysiółek wsi;Bagnity;False;8;59;421005.71;0.01401406170951933
847067;wieś;Bagno;True;20;192;7296609.05;0.002631359288737006
490530;wieś;Bajdy;True;50;171;19300365.83;0.0008859935687550645
470266;osada;Bajdyty;True;16;30;5581536.47;0.0005374864100816312
488289;osada;Bajorki;True;1;0;;
488295;osada;Bajorski Gaj;True;3;10;383538.91;0.0026072973925904937
488303;wieś;Bajory Małe;True;11;39;1197677.51;0.003256302274558032
488272;wieś;Bajory Wielkie;True;15;35;7404661.01;0.00047267525080125177
756123;wieś;Bajtkowo;True;27;94;6221391.46;0.0015109160162058023
152081;wieś;Balewo;True;21;68;1752185.48;0.0038808676807434795
768468;wieś;Bałamutowo;True;23;69;2572979.24;0.0026817161571812756
477274;wieś;Bałąg;True;10;40;4170038.66;0.000959223720961858
484877;osada;Bałcyny;True;26;243;5993394.17;0.004054463849822178
486474;osada;Bałdy;True;9;67;9110831.17;0.0007353884486479843
486480;wieś;Bałdzki Piec;True;12;51;3615639.45;0.0014105388743891484
157977;osada;Bałoszyce;True;31;398;7747697.65;0.005137009960630046
157983;osada;Bałoszyce Małe;True;3;28;2233425.29;0.0012536797234887582
477311;osada;Bałowo;True;18;85;5256494.0;0.0016170474084056788
488250;wieś;Bałowo;True;13;42;1486185.47;0.0028260268215379606
477357;osada;Bałtrucie;True;5;29;1784684.33;0.0016249372234920668
758323;wieś;Bałupiany;True;10;19;7215876.91;0.0002633082608943783
477370;osada;Banaszki;True;7;27;3795922.45;0.0007112895575619569
753550;wieś;Banie Mazurskie;True;204;1141;8334016.26;0.013690878016117526
762017;wieś;Baranowo;True;71;547;15091427.85;0.0036245741982591792
490168;wieś;Baranowo;True;23;186;15368725.22;0.0012102500196825043
770790;wieś;Barany;True;11;33;4506610.82;0.0007322575948548403
756130;wieś;Barany;True;145;261;2466074.12;0.01058362349627999
468996;wieś;Barciany;True;142;878;13058339.4;0.006723672689959338
755827;kolonia;Barcie;True;12;43;1541524.83;0.0027894458242362532
472644;wieś;Barcikowo;True;94;319;10766433.18;0.0029629125511370148
470289;wieś;Barciszewo;True;32;116;14735087.73;0.0007872365752110795
469719;wieś;Barczewko;True;226;539;24516170.97;0.0021985488707007496
469978;osada;Barczewski Dwór;True;23;28;133553.29;0.0209654138808561
473750;osada leśna;Barduń;True;2;0;1274413.52;0.0
159249;wieś;Bardyny;True;32;128;8994288.67;0.0014231253264856574
469725;osada;Bark;True;18;287;7474740.22;0.0038395983211841973
758330;wieś;Barkowo;True;13;56;9047717.65;0.0006189406231084145
472928;osada;Barkweda;True;20;200;7978245.05;0.0025068169597021843
488830;wieś;Bartąg;True;648;1385;22414870.99;0.006178933622316602
488869;osada;Bartążek;True;74;325;3336056.5;0.009742041239409464
482370;wieś;Bartężek;True;24;115;6539547.94;0.0017585313397060285
472609;osada;Bartki;True;3;36;1875804.83;0.0019191762076868092
479215;wieś;Bartki;True;42;183;10358722.58;0.001766627096987088
771625;osada;Bartkowski Dwór;True;1;2;2910881.44;6.870771074757343e-05
766848;przysiółek wsi;Bartlewo;False;2;5;15268.79;0.03274653721742194
478084;wieś;Bartniki;True;26;102;4667795.52;0.0021851856955379233
469754;wieś;Bartołty Małe;True;7;26;3019827.68;0.0008609762792822669
469748;wieś;Bartołty Wielkie;True;136;219;15376955.46;0.0014242091067356189
756146;wieś;Bartosze;True;105;260;10303304.22;0.0025234623228469516
483599;wieś;Bartoszki;True;41;138;3031646.51;0.004551981886568959
490553;wieś;Barty;True;61;188;13615820.16;0.0013807467915322405
155910;osada;Barzyna;True;8;103;2410504.77;0.004272963956839629
149506;część wsi;Batorowo;False;18;186;439339.25;0.042336303892720716
153703;wieś;Bażyny;True;106;303;22249353.76;0.001361837306684992
490560;osada;Bądki;True;13;171;625424.81;0.027341416148809316
473939;osada;Bądle;True;18;151;6372711.86;0.0023694779132850986
154170;wieś;Bądy;True;22;64;3003970.67;0.002130513478016082
473945;wieś;Bądze;True;15;35;3332068.92;0.0010503984413383623
753840;osada;Śluza;True;1;6;595258.54;0.001007965379211527
470303;wieś;Bąsze;True;12;35;2461485.79;0.001421905425665691
484890;osada;Bednarki;True;6;45;6996397.81;0.0006431881265482244
490760;osada;Bednarzówka;True;2;3;727073.77;0.0004126128769574509
754710;wieś;Bełcząc;True;33;156;8883708.91;0.001756023318418253
117908;wieś;Bełk;True;49;148;2834516.22;0.005221349553610951
148292;osada;Bemowizna;True;41;361;3373217.9;0.01070194724153456
754727;osada;Bemowo Piskie;True;114;1071;12168260.76;0.008801586530103257
772613;osada;Berkowo;True;6;90;4692480.52;0.0019179621442520132
486920;przysiółek wsi;Bertyny;False;4;7;1703654.47;0.0004108814388870766
470310;osada;Bezledy;True;88;874;5352074.65;0.016330116023325646
486959;osada;Bezławecki Dwór;True;1;1;1515249.23;6.5995743815689e-05
486942;wieś;Bezławki;True;19;61;10203869.88;0.0005978124056595672
755678;wieś;Będziszewo;True;12;39;2181862.69;0.0017874635364886322
478339;osada;Bęsia;True;45;482;13594732.17;0.0035454909590911052
760120;wieś;Bialskie Pole;True;13;39;10027021.8;0.00038894898981869165
772369;osada;Biała Giżycka;True;10;84;3734548.04;0.0022492681604384984
480454;kolonia;Biała Góra;True;18;63;6923921.74;0.00090988896705814
159025;osada;Biała Leśniczówka;True;1;6;279678.38;0.0021453213509031338
763264;osada;Biała Olecka;True;12;40;4487293.22;0.0008914059776998482
480773;osada;Biała Wola;True;18;180;8832902.5;0.002037835241586783
154855;wieś;Białczyn;True;32;215;18989017.03;0.001132233436097982
755684;wieś;Białe Jeziorki;True;12;35;3061480.5;0.0011432377243624449
1037850;osada leśna;Białka;True;3;32;756016.82;0.004232710060604207
480891;osada;Białka;True;7;20;614822.96;0.0032529689522330135
843980;kolonia wsi;Białobłoty;False;20;88;2177716.25;0.0040409304931255385
756169;wieś;Białojany;True;10;35;1633613.47;0.0021424896796425168
116369;wieś;Białuty;True;96;551;20641611.21;0.0026693652660847687
153991;osada;Biały Dwór;True;30;122;2954831.66;0.004128830811295693
489857;wieś;Biały Grunt;True;38;131;4933481.1;0.0026553258712190063
477392;wieś;Biedaszki;True;31;138;1678328.65;0.008222465844219488
770927;wieś;Biedaszki;True;8;40;2396206.29;0.0016693053585131853
477400;wieś;Biedaszki Małe;True;30;321;1339124.88;0.023970878653229118
149682;wieś;Biedkowo;True;8;15;20268725.77;7.400563888531016e-05
149699;osada;Biedkowo-Osada;True;16;176;435027.08;0.04045725153477802
469984;wieś;Biedowo;True;18;87;2910050.67;0.002989638664951494
486600;osada;Biedówko;True;3;31;982721.71;0.003154504442564925
472176;osada;Biegonity;True;6;20;1050615.52;0.0019036459693647014
486994;osada;Biel;True;2;1;1481058.03;6.75192990243603e-05
475795;wieś;Bielawy;True;44;142;6383472.41;0.0022244946148361282
150202;wieś;Bielica;True;52;146;5083914.46;0.0028718028430399674
