SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
759080;55363190.59;455898.04;12.899878930335833;0.10622634746848686;83;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0
759096;40952984.34;498394.89999999997;13.688288339069285;0.16658549328865835;55;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0
759104;54358634.1;1936406.72;10.502340515826722;0.3741227697731119;31;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
759110;58722595.92;7131234.87;10.018762719519119;1.216672201566575;15;0;0;0;0;0;0;0;0;18;0;0;3;0;0;0;0;0;0;0;0
759127;19323847.71;1420952.16;4.786241619103883;0.35194959456382297;41;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0
759133;19032145.56;1845962.37;13.178249921853409;1.2781823983799354;21;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
759140;36991376.14;2727536.33;4.470097184067644;0.32959986192541785;12;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
759162;77037290.64;163716.16;17.211733861640734;0.036577597048911385;68;0;1;0;0;0;0;0;0;66;0;0;0;4;0;0;0;0;0;1;5
759179;59775872.980000004;4532530.18;8.092295777981372;0.6136016591754198;20;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
759191;56079595.400000006;4588507.85;7.180097542738566;0.5874852288720616;22;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;0;0;0
759535;32975840.549999997;2087981.89;3.6867485001412055;0.23343951125696172;87;0;2;0;3;0;1;0;0;53;0;2;8;0;1;0;0;0;0;0;0
759558;12438329.66;2768272.67;10.584232228204431;2.3556250405950028;21;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
759564;37850985.22;16681454.569999998;10.472439431532381;4.6153494182200845;81;0;1;0;0;0;0;0;0;42;0;0;0;2;0;0;0;0;0;0;0
759570;27153365.89;9748329.27;10.219175455112522;3.6687859474919393;41;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;1;0;0
759587;31334830.330000002;9305055.629999999;10.306672525927427;3.0606248766609263;55;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;1;0;0
759593;24798219.490000002;3358170.6;2.4304331366731304;0.3291288355655041;39;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
759601;35459937.99;2901416.15;3.983396136768283;0.32593091071750924;127;0;0;0;1;0;0;0;0;58;0;0;0;0;0;0;0;1;0;0;0
759624;49067058.160000004;4671694.84;4.737205934816927;0.4510313304200264;46;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0
759630;21790264.62;9824755.469999999;2.085318679985534;0.9402247501426191;79;0;0;0;0;0;0;0;0;36;0;1;0;0;0;0;0;0;0;0;0
759647;26971762.47;9137715.33;3.5792687277264466;1.2126140722140042;67;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;1;0;0
759653;11667603.84;3175686.44;8.488210982011104;2.310319829596798;25;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0
759660;41127553.92;2047309.03;5.878993360416335;0.2926533442154784;167;0;5;3;13;3;1;0;0;135;0;0;6;4;3;0;0;2;1;0;3
759676;19837680.28;696164.17;10.92309430160385;0.3833243993741679;27;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0
759682;53364824.07;2676153.59;5.737015734677299;0.2877014123405343;27;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;1;0
759707;35019180.64;108440.79;13.714646597969613;0.04246892944022454;48;0;0;0;0;0;0;0;0;23;0;0;0;1;0;0;0;0;0;3;0
759713;7612910.890000001;4841676.88;3.0065292762408293;1.9120995235789966;48;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
759736;31386271.76;85478.28;9.977361846182133;0.02717263573293145;22;0;0;0;0;0;0;0;0;18;0;0;6;0;0;0;0;0;0;0;0
759742;13373202.12;2399538.1799999997;3.216551861617097;0.5771421781143543;69;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0
