SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci;liczba_budynkow;powierzchnia_budynkow;gestosc_zabudowy;srednia_liczba_kondygnacji;nna_index;srednia_odleglosci;odchylenie_standardowe;wspolczynnik_zmiennosci;min_odleglosc;max_odleglosc;min_max_rozstep;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
764134;wieś;Babrosty;True;65;217;4902222.46;0.0044265637018847;122.0;17787.87;0.3628531782296962;1.3278688524590163;0.2839596416723173;446.6260069089488;328.090409530865;73.45976375212538;5.157870657971894;1492.9424972149295;1492.9424972149295;24426961.78;8026899.47;4.982834210261442;1.6374000844506758;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
767859;osada;Bachorza;True;2;22;133822.19;0.0164397249813353;4.0;3378.69;2.524760654417627;1.5;0.633187941898063;65.77077917196718;50.09010335107845;76.1585980608663;45.15280362384856;141.31367490866347;141.31367490866347;2862859.15;29998.870000000003;21.39300776649971;0.224169623886741;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
482944;wieś;Bagienice;True;41;99;1919776.13;0.0051568512834879;97.0;10895.55;0.5675427373919896;1.309278350515464;0.3773027175440419;610.0595815001102;450.1209832600979;73.78311838874325;5.572209887660808;2220.7561713482955;2220.7561713482955;16895050.95;1765630.81;8.800531835969853;0.9197066170418527;49.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
482950;wieś;Bagienice Małe;True;61;213;12031312.3;0.0017703804430377;157.0;15082.0;0.1253562339995114;1.3076923076923077;0.1584029729490312;646.4672229517599;617.3714207672925;95.49926103730112;5.905475009915548;4136.311739964618;4136.311739964618;5502060.2;18658816.47;0.4573117265021871;1.5508546370290794;87.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;66.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
482045;wieś;Bagieńsko;True;5;10;14944675.06;6.691346556450321e-05;20.0;2153.14;0.0144074059245554;1.45;0.0600651832627875;1801.6251535467584;1527.0457230030188;84.75934741457232;18.695820527289605;3693.293794322277;3693.293794322277;2960310.07;94742927.55;0.198084605929197;6.339577620097147;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
481152;przysiółek wsi;Bagnity;False;8;59;421005.71;0.0140140617095193;26.0;3244.63;0.7706855092297917;1.4230769230769231;0.3696308065347901;124.6985385503175;79.9840880364399;64.14196105767932;10.120981839660056;316.5895648272114;316.5895648272114;8269433.8;255449.97;19.64209416542117;0.6067612954703155;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
847067;wieś;Bagno;True;20;192;7296609.05;0.002631359288737;60.0;11851.14;0.1624198297975139;1.2666666666666666;0.1467881653757484;950.9971956758998;958.429927343237;100.78157240643118;5.989040034510482;4333.382371292896;4333.382371292896;66089671.25;11919024.6;9.05758699652409;1.633501879890358;31.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;1.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
490530;wieś;Bajdy;True;50;171;19300365.83;0.000885993568755;196.0;37526.97;0.1944365735372177;1.3622448979591837;0.1840201863136561;2109.348972307993;1123.7988626645588;53.27704791469039;5.748257626013454;4951.181026579477;4951.181026579477;32561638.23;2354416.41;1.6870995356671954;0.1219881752883852;112.0;0.0;0.0;9.0;3.0;0.0;0.0;0.0;0.0;63.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
470266;osada;Bajdyty;True;16;30;5581536.47;0.0005374864100816;34.0;7700.82;0.1379695365494942;1.4411764705882353;0.1218814948164012;281.3358829287868;228.483149118352;81.21365349481098;5.617892087753686;1090.1056731534434;1090.1056731534434;106102593.8;125378.0;19.00956741397051;0.0224629903744049;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
488289;osada;Bajorki;True;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
